[2024-01-10 11:45:51,093: INFO: main: This is custom logger!]
[2024-01-11 17:11:03,660: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:11:03,670: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:11:03,686: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:11:03,735: INFO: common: created directory at: artifacts]
[2024-01-11 17:11:03,735: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 17:22:45,192: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:22:45,192: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:22:45,198: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:22:45,244: INFO: common: created directory at: artifacts]
[2024-01-11 17:22:45,244: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 17:25:05,781: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:25:05,783: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:25:05,786: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:25:05,786: INFO: common: created directory at: artifacts]
[2024-01-11 17:25:05,788: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 17:29:02,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:29:02,860: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:29:02,862: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:29:02,863: INFO: common: created directory at: artifacts]
[2024-01-11 17:29:02,866: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 17:30:00,157: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:30:00,160: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:30:00,162: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:30:00,162: INFO: common: created directory at: artifacts]
[2024-01-11 17:30:00,162: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 17:33:12,235: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:33:12,239: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:33:12,241: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:33:12,242: INFO: common: created directory at: artifacts]
[2024-01-11 17:33:12,244: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 17:58:06,841: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 17:58:06,843: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 17:58:06,846: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 17:58:06,846: INFO: common: created directory at: artifacts]
[2024-01-11 17:58:06,846: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 18:01:51,160: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 18:01:51,163: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 18:01:51,166: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 18:01:51,166: INFO: common: created directory at: artifacts]
[2024-01-11 18:01:51,170: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 18:03:09,254: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 18:03:09,257: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 18:03:09,259: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 18:03:09,261: INFO: common: created directory at: artifacts]
[2024-01-11 18:03:09,261: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 18:05:09,834: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 18:05:09,837: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 18:05:09,839: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 18:05:09,841: INFO: common: created directory at: artifacts]
[2024-01-11 18:05:09,841: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 18:50:50,936: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 18:50:50,938: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-11 18:50:50,940: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-11 18:50:50,941: INFO: common: created directory at: artifacts]
[2024-01-11 18:50:50,941: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-11 18:50:50,941: INFO: 3101321396: Exporting data from mongodb]
[2024-01-11 18:51:38,306: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-11 18:51:38,306: INFO: common: yaml file: params.yaml loaded successfully]
